Site Name,Device Hostname,Device Description,Software,Version
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,DVD Player,6
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Dwell Control,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,eaptlstrust,13
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Elgato Stream Deck,6.8.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,EmojiFunctionRowIM,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,EPFaxAutoSetupTool,1.71
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,EPSON Scanner,5.7.24
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,epsonfax,1.71
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Erase Assistant,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,EscrowSecurityAlert,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Expansion Slot Utility,2
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,FaceTime,5
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Family,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,fax,5.17.3
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Fax Receive Monitor,1.71
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,FAX Utility,1.73
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Feedback Assistant,5.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Final Cut Pro,11
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Find My,4
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Finder,14.6
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,FindMyMacMessenger,4.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Firefox,120.0.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Flow,3.3.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Focus,2025.1.1
